iter	Passed	Remaining
0	0	73
1	1	70
2	2	95
3	3	80
4	9	189
5	10	169
6	11	153
7	12	141
8	16	163
9	17	153
10	17	142
11	18	133
12	23	160
13	28	175
14	32	185
15	39	206
16	40	195
17	40	185
18	41	177
19	43	173
20	44	166
21	45	160
22	46	154
23	46	148
24	47	143
25	49	139
26	49	134
27	50	130
28	51	125
29	51	121
30	52	117
31	54	115
32	55	112
33	56	109
34	57	106
35	58	104
36	59	101
37	60	98
38	61	95
39	62	93
40	62	90
41	63	87
42	63	84
43	64	82
44	65	79
45	66	77
46	67	75
47	67	73
48	68	71
49	69	69
50	71	69
51	72	67
52	73	65
53	74	63
54	74	61
55	75	59
56	76	57
57	76	55
58	77	53
59	78	52
60	79	50
61	79	48
62	80	47
63	81	45
64	81	44
65	82	42
66	83	41
67	84	39
68	85	38
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	90	30
75	91	28
76	92	27
77	92	26
78	93	24
79	94	23
80	94	22
81	95	20
82	96	19
83	97	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	105	7
93	106	6
94	107	5
95	108	4
96	108	3
97	109	2
98	110	1
99	111	0
