iter	Passed	Remaining
0	0	816
1	1	639
2	1	572
3	2	526
4	2	501
5	2	482
6	3	459
7	3	434
8	3	413
9	4	400
10	4	391
11	4	383
12	5	401
13	6	425
14	6	423
15	6	424
16	7	419
17	7	412
18	7	408
19	9	476
20	10	468
21	10	460
22	10	455
23	11	450
24	11	444
25	11	439
26	12	438
27	12	438
28	13	437
29	13	435
30	13	432
31	14	427
32	14	424
33	14	421
34	15	418
35	15	414
36	15	411
37	16	407
38	16	405
39	16	406
40	17	403
41	17	404
42	18	402
43	18	400
44	18	399
45	19	397
46	19	394
47	19	392
48	20	390
49	20	389
50	20	386
51	21	384
52	21	382
53	21	381
54	22	380
55	22	379
56	22	377
57	23	376
58	23	375
59	23	374
60	24	374
61	24	375
62	25	374
63	25	373
64	25	371
65	26	371
66	26	371
67	27	370
68	27	368
69	27	367
70	28	367
71	28	366
72	28	366
73	29	365
74	29	364
75	29	364
76	30	363
77	30	362
78	31	361
79	31	360
80	31	359
81	32	359
82	32	358
83	32	357
84	33	356
85	33	355
86	33	354
87	34	354
88	34	354
89	34	353
90	35	353
91	35	352
92	36	352
93	36	352
94	36	351
95	37	355
96	38	355
97	38	354
98	42	384
99	50	458
100	54	486
101	55	485
102	55	483
103	57	495
104	57	493
105	58	490
106	58	488
107	58	486
108	59	484
109	59	482
110	59	479
111	60	478
112	60	476
113	60	473
114	61	472
115	61	470
116	62	468
117	62	469
118	63	467
119	65	477
120	65	476
121	65	473
122	66	471
123	66	470
124	66	468
125	67	466
126	67	464
127	67	462
128	68	461
129	68	460
130	69	461
131	69	459
132	70	458
133	70	456
134	70	454
135	71	453
136	71	451
137	72	450
138	72	448
139	72	446
140	73	444
141	73	442
142	73	440
143	73	438
144	74	437
145	74	435
146	75	436
147	75	434
148	75	433
149	76	432
150	76	430
151	77	429
152	77	428
153	77	426
154	78	425
155	78	424
156	78	422
157	79	422
158	79	420
159	79	419
160	80	417
161	80	416
162	80	415
163	81	415
164	81	413
165	82	412
166	82	410
167	82	409
168	83	408
169	83	406
170	83	405
171	83	403
172	84	402
173	84	401
174	84	399
175	85	398
176	85	397
177	85	395
178	86	394
179	86	393
180	86	391
181	86	390
182	87	391
183	88	390
184	88	390
185	88	388
186	89	387
187	89	386
188	89	385
189	90	383
190	90	382
191	90	381
192	90	380
193	91	378
194	91	379
195	92	378
196	92	377
197	92	376
198	93	374
199	93	373
200	93	372
201	94	371
202	94	370
203	94	369
204	95	368
205	95	367
206	95	366
207	96	365
208	96	364
209	96	363
210	97	362
211	97	362
212	98	364
213	99	364
214	99	363
215	99	362
216	100	361
217	100	359
218	100	358
219	100	357
220	101	356
221	101	355
222	101	354
223	102	354
224	102	353
225	103	353
226	103	352
227	103	351
228	104	350
229	104	349
230	104	348
231	104	347
232	105	346
233	105	345
234	106	345
235	106	344
236	106	343
237	107	342
238	107	341
239	107	340
240	107	339
241	108	339
242	108	338
243	108	337
244	109	336
245	109	335
246	109	335
247	110	334
248	110	333
249	110	332
250	112	334
251	112	334
252	112	333
253	113	332
254	113	331
255	113	330
256	114	329
257	114	329
258	114	328
259	115	327
260	115	326
261	115	325
262	116	325
263	116	324
264	116	323
265	116	322
266	117	321
267	117	320
268	117	320
269	118	319
270	118	318
271	118	317
272	118	316
273	119	316
274	119	315
275	119	314
276	120	313
277	120	312
278	120	311
279	120	311
280	121	310
281	121	309
282	121	308
283	122	307
284	122	307
285	122	306
286	123	305
287	123	304
288	123	304
289	123	303
290	124	302
291	124	301
292	124	300
293	124	300
294	125	299
295	125	298
296	125	297
297	126	296
298	126	296
299	126	295
300	126	294
301	127	294
302	127	293
303	127	292
304	128	291
305	128	290
306	128	290
307	128	289
308	129	288
309	129	287
310	129	287
311	129	286
312	130	285
313	130	284
314	130	284
315	130	283
316	131	282
317	131	281
318	131	281
319	131	280
320	132	279
321	132	278
322	132	278
323	133	277
324	133	276
325	133	276
326	133	275
327	134	274
328	134	273
329	134	273
330	134	272
331	135	271
332	135	271
333	135	270
334	135	269
335	136	268
336	136	268
337	136	267
338	136	266
339	137	266
340	137	265
341	137	264
342	137	264
343	138	263
344	138	262
345	138	262
346	138	261
347	139	260
348	139	260
349	139	259
350	139	258
351	140	258
352	140	257
353	140	256
354	141	256
355	141	255
356	141	254
357	141	254
358	142	253
359	142	253
360	142	252
361	142	251
362	143	251
363	143	250
364	143	250
365	143	249
366	144	248
